iter	Passed	Remaining
431	1574	2070
432	1577	2066
433	1580	2061
434	1583	2056
435	1586	2052
436	1590	2048
437	1594	2045
438	1598	2042
439	1603	2040
440	1606	2036
441	1609	2031
442	1612	2027
443	1614	2022
444	1617	2017
445	1622	2015
446	1625	2011
447	1629	2007
448	1631	2002
449	1635	1999
450	1638	1994
451	1641	1989
452	1644	1986
453	1648	1982
454	1653	1980
455	1656	1976
456	1659	1971
457	1660	1965
458	1663	1960
459	1666	1956
460	1669	1951
461	1671	1946
462	1674	1941
463	1678	1938
464	1681	1934
465	1685	1931
466	1688	1926
467	1691	1922
468	1694	1918
469	1698	1915
470	1707	1917
471	1711	1914
472	1714	1910
473	1717	1905
474	1719	1900
475	1722	1896
476	1724	1891
477	1736	1896
478	1739	1891
479	1742	1887
480	1746	1884
481	1748	1879
482	1751	1874
483	1754	1870
484	1756	1865
485	1761	1863
486	1766	1860
487	1769	1856
488	1772	1852
489	1776	1849
490	1779	1844
491	1781	1839
492	1784	1835
493	1793	1837
494	1796	1833
495	1799	1828
496	1802	1823
497	1805	1819
498	1807	1815
499	1810	1810
500	1813	1806
501	1817	1803
502	1820	1799
503	1825	1796
504	1827	1791
505	1830	1787
506	1833	1782
507	1836	1779
508	1839	1774
509	1842	1770
510	1847	1767
511	1852	1765
512	1856	1762
513	1859	1757
514	1861	1753
515	1864	1749
516	1870	1747
517	1875	1745
518	1884	1746
519	1888	1742
520	1890	1738
521	1893	1734
522	1896	1729
523	1900	1726
524	1904	1722
525	1909	1720
526	1912	1716
527	1915	1711
528	1918	1708
529	1921	1704
530	1924	1699
531	1927	1695
532	1930	1691
533	1935	1689
534	1940	1686
535	1943	1682
536	1945	1677
537	1949	1673
538	1952	1669
539	1954	1665
540	1957	1661
541	1960	1656
542	1966	1654
543	1969	1650
544	1971	1646
545	1974	1641
546	1977	1637
547	1979	1633
548	1982	1628
549	1986	1625
550	1989	1621
551	1994	1618
552	1996	1613
553	1999	1609
554	2001	1605
555	2004	1600
556	2006	1596
557	2010	1592
558	2013	1588
559	2015	1583
560	2019	1580
561	2022	1576
562	2026	1572
563	2029	1568
564	2031	1564
565	2033	1559
566	2036	1554
567	2038	1550
568	2042	1546
569	2045	1542
570	2048	1539
571	2052	1535
572	2055	1531
573	2058	1527
574	2061	1523
575	2064	1519
576	2066	1515
577	2069	1511
578	2073	1507
579	2077	1504
580	2080	1500
581	2083	1496
582	2085	1491
583	2089	1488
584	2092	1484
585	2094	1479
586	2097	1475
587	2100	1471
588	2107	1470
589	2110	1466
590	2112	1462
591	2115	1458
592	2118	1454
593	2122	1450
594	2124	1446
595	2127	1442
596	2132	1439
597	2136	1435
598	2139	1432
599	2142	1428
600	2145	1424
601	2147	1419
602	2151	1416
603	2154	1412
604	2157	1408
605	2160	1404
606	2163	1400
607	2167	1397
608	2170	1393
609	2173	1389
610	2176	1385
611	2178	1381
612	2182	1377
613	2185	1373
614	2188	1369
615	2190	1365
616	2194	1362
617	2199	1359
618	2202	1355
619	2205	1351
620	2208	1347
621	2211	1343
622	2214	1339
623	2217	1336
624	2221	1332
625	2224	1328
626	2229	1326
627	2232	1322
628	2235	1318
629	2238	1314
630	2241	1310
631	2245	1307
632	2247	1303
633	2251	1299
634	2254	1295
635	2257	1291
636	2261	1288
637	2263	1284
638	2266	1280
639	2269	1276
640	2272	1272
641	2276	1269
642	2279	1265
643	2282	1261
644	2285	1257
645	2292	1256
646	2295	1252
647	2298	1248
648	2301	1244
649	2304	1240
650	2308	1237
651	2311	1233
652	2314	1229
653	2317	1226
654	2320	1222
655	2323	1218
656	2326	1214
657	2329	1210
658	2332	1207
659	2335	1203
660	2339	1199
661	2342	1195
662	2345	1192
663	2348	1188
664	2351	1184
665	2354	1181
666	2357	1177
667	2361	1173
668	2364	1169
669	2371	1167
670	2374	1164
671	2377	1160
672	2379	1156
673	2383	1152
674	2386	1149
675	2389	1145
676	2392	1141
677	2395	1137
678	2403	1136
679	2406	1132
680	2409	1128
681	2412	1124
682	2416	1121
683	2419	1117
684	2423	1114
685	2426	1110
686	2433	1108
687	2436	1105
688	2439	1101
689	2442	1097
690	2446	1093
691	2449	1090
692	2452	1086
693	2455	1082
694	2458	1078
695	2462	1075
696	2465	1071
697	2468	1067
698	2471	1064
699	2475	1060
700	2478	1057
701	2481	1053
702	2484	1049
703	2487	1045
704	2494	1043
705	2497	1040
706	2500	1036
707	2505	1033
708	2508	1029
709	2512	1026
710	2516	1022
711	2520	1019
712	2524	1016
713	2527	1012
714	2530	1008
715	2533	1004
716	2537	1001
717	2540	997
718	2544	994
719	2546	990
720	2550	986
721	2553	983
722	2556	979
723	2559	975
724	2562	971
725	2564	968
726	2569	964
727	2572	961
728	2575	957
729	2578	953
730	2582	950
731	2585	946
732	2588	942
733	2591	939
734	2594	935
735	2597	931
736	2601	928
737	2604	924
738	2607	920
739	2610	917
740	2613	913
741	2616	909
742	2619	906
743	2622	902
744	2625	898
745	2628	894
746	2632	891
747	2635	887
748	2638	884
749	2641	880
750	2645	877
751	2648	873
752	2651	869
753	2654	866
754	2657	862
755	2662	859
756	2666	855
757	2669	852
758	2672	848
759	2677	845
760	2680	841
761	2690	840
762	2694	837
763	2697	833
764	2701	829
765	2703	825
766	2707	822
767	2710	818
768	2713	815
769	2716	811
770	2719	807
771	2724	804
772	2727	800
773	2730	797
774	2733	793
775	2736	789
776	2740	786
777	2743	782
778	2746	779
779	2749	775
780	2752	771
781	2756	768
782	2759	764
783	2762	760
784	2765	757
785	2768	753
786	2771	750
787	2775	746
788	2777	742
789	2781	739
790	2785	735
791	2788	732
792	2791	728
793	2794	725
794	2797	721
795	2800	717
796	2804	714
797	2807	710
798	2810	707
799	2814	703
800	2820	700
801	2823	697
802	2826	693
803	2829	689
804	2832	686
805	2835	682
806	2838	678
807	2841	675
808	2845	671
809	2849	668
810	2852	664
811	2855	661
812	2858	657
813	2860	653
814	2864	650
815	2867	646
816	2870	642
817	2873	639
818	2876	635
819	2880	632
820	2883	628
821	2886	625
822	2889	621
823	2892	617
824	2895	614
825	2899	610
826	2902	607
827	2904	603
828	2907	599
829	2910	596
830	2913	592
831	2916	588
832	2919	585
833	2922	581
834	2925	578
835	2929	574
836	2932	570
837	2935	567
838	2939	563
839	2943	560
840	2946	557
841	2949	553
842	2952	549
843	2958	546
844	2961	543
845	2964	539
846	2968	536
847	2972	532
848	2975	529
849	2978	525
850	2981	522
851	2986	518
852	2990	515
853	2994	511
854	2997	508
855	3000	504
856	3004	501
857	3007	497
858	3010	494
859	3014	490
860	3019	487
861	3023	483
862	3025	480
863	3028	476
864	3031	473
865	3035	469
866	3038	466
867	3041	462
868	3044	458
869	3048	455
870	3051	451
871	3054	448
872	3057	444
873	3060	441
874	3063	437
875	3066	434
876	3069	430
877	3072	426
878	3075	423
879	3079	419
880	3082	416
881	3085	412
882	3088	409
883	3091	405
884	3094	402
885	3097	398
886	3100	395
887	3103	391
888	3106	387
889	3110	384
890	3113	380
891	3116	377
892	3119	373
893	3122	370
894	3127	366
895	3130	363
896	3133	359
897	3139	356
898	3143	353
899	3146	349
900	3149	346
901	3152	342
902	3155	339
903	3158	335
904	3161	331
905	3164	328
906	3166	324
907	3173	321
908	3176	318
909	3179	314
910	3182	310
911	3185	307
912	3188	303
913	3191	300
914	3194	296
915	3197	293
916	3200	289
917	3204	286
918	3207	282
919	3210	279
920	3213	275
921	3216	272
922	3220	268
923	3223	265
924	3226	261
925	3229	258
926	3232	254
927	3236	251
928	3240	247
929	3245	244
930	3248	240
931	3251	237
932	3254	233
933	3258	230
934	3261	226
935	3265	223
936	3268	219
937	3271	216
938	3274	212
939	3276	209
940	3280	205
941	3283	202
942	3286	198
943	3289	195
944	3292	191
945	3297	188
946	3300	184
947	3303	181
948	3305	177
949	3308	174
950	3312	170
951	3315	167
952	3318	163
953	3321	160
954	3324	156
955	3329	153
956	3332	149
957	3335	146
958	3337	142
959	3340	139
960	3343	135
961	3346	132
962	3349	128
963	3352	125
964	3355	121
965	3359	118
966	3362	114
967	3365	111
968	3367	107
969	3370	104
970	3374	100
971	3377	97
972	3380	93
973	3383	90
974	3386	86
975	3389	83
976	3392	79
977	3395	76
978	3398	72
979	3401	69
980	3406	65
981	3409	62
982	3412	59
983	3416	55
984	3419	52
985	3423	48
986	3425	45
987	3428	41
988	3431	38
989	3434	34
990	3439	31
991	3441	27
992	3445	24
993	3447	20
994	3450	17
995	3453	13
996	3456	10
997	3460	6
998	3463	3
999	3468	0
